FP_n1	FP_n2	FP_n3	FP_f1	FP_f2	FP_f3	FP_p1	FP_p2	FP_p3	Ch_n1	Ch_n2	Ch_n3	Ch_f1	Ch_f2	Ch_f3	Ch_p1	Ch_p2	Ch_p3	Ch_FDR005	Ch_FDR001	FP_FDR005	FP_FDR001	Protein_Group	Proteins
0.503	0.506	0.386	-0.252	-0.286	-0.268	-0.171	-0.127	-0.291	0.358	0.324	0.349	-0.06	-0.069	0.001	-0.43	-0.188	-0.286	not significant	not significant	significant	not significant	O70445	BARD1
-1.426	-1.601	-1.549	0.128	0.222	0.455	1.186	1.458	1.128	0.263	0.365	-0.106	0.49	-0.587	-0.067	-0.295	-0.357	0.294	not significant	not significant	significant	significant	Q91XV3	BASP1
0.036	0.309	0.281	0.175	0.226	0.1	-0.413	-0.335	-0.379	0.599	0.524	0.544	1.152	0.546	0.313	-2.165	-1.009	-0.504	significant	significant	significant	not significant	Q07813	BAX
-0.09	0.036	-0.168	-0.463	-0.406	-1.004	0.71	0.791	0.593	-0.258	-0.211	-0.443	-0.24	-0.297	-0.249	0.642	0.53	0.527	significant	not significant	significant	significant	G3UWZ0	BAZ1A (isof.)
-0.257	-0.067	-0.146	0.017	-0.622	-0.56	0.514	0.598	0.522	-0.113	-0.159	-0.189	-0.428	-0.314	-0.328	0.397	0.543	0.592	significant	not significant	significant	not significant	O88379	BAZ1A
0.203	0.22	0.157	-0.211	-0.317	-0.346	0.081	0.128	0.086	0.244	0.197	0.199	-0.417	-0.315	-0.278	0.07	0.099	0.201	not significant	not significant	significant	not significant	Q9Z277	BAZ1B
0.251	3.711	2.758	-0.747	-0.635	-2.138	-1.25	-0.899	-1.051	0.403	0.239	0.465	-0.022	0.202	0.558	-0.293	-0.928	-0.624	significant	not significant	significant	significant	"A0A1W2P6X9;A0A5F8MPQ7;E9Q374;F8VPM0"	BAZ2A
0.243	0.178	0.25	0.079	0.093	-0.039	-0.222	-0.329	-0.252	0.157	0.166	0.11	-0.012	0.074	0.198	-0.231	-0.202	-0.259	not significant	not significant	not significant	not significant	"Q91YE5;Q91YE5-2;Q91YE5-3"	BAZ2A (isof.)
0.387	0.585	0.235	-0.548	-0.268	-0.635	-0.039	0.321	-0.039	0.894	1	1.008	-0.612	-0.674	-0.664	-0.347	-0.278	-0.328	significant	significant	significant	not significant	A2AUY4	BAZ2B
0.837	1.044	0.907	-2.316	-2.065	0.765	1.069	1.279	-1.519	0.247	0.411	0.563	-0.311	-0.906	-0.723	0.448	0.033	0.239	significant	not significant	significant	not significant	Q8C1Z7	BBS4
2.388	2.203	1.784	-1.115	-0.915	-1.23	-1.802	-0.758	-0.554	3.092	-0.829	3.023	-1.589	-0.441	-0.73	-0.646	-0.929	-0.95	significant	significant	significant	significant	"Q811G0;Q811G0-2"	BBS9
-0.143	-0.242	-0.146	-0.168	0.369	0.333	-0.114	0.165	-0.053	-0.272	-0.172	-1.341	0.592	0.709	0.534	-0.313	0.047	0.216	significant	not significant	not significant	not significant	Q8VBW5	BBX
0.414	0.219	0.185	1.206	1.329	1.071	-1.392	-1.493	-1.537	1.763	1.992	1.666	0.676	0.368	0.111	-2.764	-2.326	-1.487	significant	significant	significant	significant	Q9R069	BCAM
1.801	1.689	1.848	-1.278	-1.56	-1.291	1.108	-0.245	-2.072	0.875	1.193	0.851	-0.302	-0.162	0.128	-0.56	-1.666	-0.357	significant	significant	significant	significant	Q61334	BCAP29
0.167	0.137	0.239	-0.323	-0.122	-0.375	0.103	0.087	0.087	0.317	0.315	0.369	0.028	-0.242	-0.405	0.12	-0.516	0.014	not significant	not significant	not significant	not significant	Q61335	BCAP31
-1.993	-2.235	-1.914	1.248	1.195	1.203	0.871	0.88	0.744	-0.365	-0.096	-0.829	1.711	1.29	0.575	-0.409	-0.937	-0.94	significant	significant	significant	significant	Q61140-2	BCAR1
0.106	0.076	0.105	0.019	0.071	-0.078	-0.079	-0.12	-0.1	-0.007	0.129	0.062	0.202	-0.157	-0.322	0.02	-0.049	0.122	not significant	not significant	not significant	not significant	Q9D287	BCAS2
0.761	0.818	0.93	-0.173	-0.054	-0.263	-0.6	-0.878	-0.541	0.129	0.291	0.331	0.1	0.287	-0.461	-0.707	0.316	-0.286	not significant	not significant	significant	significant	Q8CCN5	BCAS3
0.454	0.473	0.63	-0.038	-0.04	-0.053	-0.483	-0.576	-0.367	1.604	1.704	1.567	-0.64	0.504	1.824	-3.322	-3.06	-0.181	significant	significant	significant	significant	P24288	BCAT1
0.176	0.155	0.261	1.249	1.3	1.14	-1.342	-1.58	-1.357	1.153	1.214	1.353	2.116	2.229	1.805	-2.843	-2.605	-4.423	significant	significant	significant	significant	O35855	BCAT2
0.103	0.246	0.233	0.067	-0.013	-0.025	-0.146	-0.352	-0.113	0.335	0.158	0.149	0.804	0.759	0	-0.565	-0.967	-0.672	significant	significant	not significant	not significant	Q9CWI3	BCCIP
0.246	0.4	0.402	0.479	0.105	0.251	-0.865	-0.64	-0.379	0.646	0.407	0.634	0.906	0.656	0.577	-1.715	-0.722	-1.387	significant	significant	significant	significant	P50136	BCKDHA
0.092	0.274	0.204	0.347	0.214	0.266	-0.501	-0.544	-0.351	1.075	0.925	1.269	1.125	0.784	0.338	-0.903	-2.827	-1.785	significant	significant	significant	not significant	Q6P3A8	BCKDHB
-0.129	0.239	-0.116	0.325	0.441	0.242	-0.277	-0.281	-0.443	-0.111	0.046	-0.394	0.879	0.728	0.01	-0.315	0.605	-1.448	not significant	not significant	significant	not significant	O55028	BCKDK
0.062	0.044	-0.093	0.013	-0.799	-0.427	0.55	0.318	0.332	0.65	0.618	0.305	-2.021	1.749	1.088	-2.573	0.048	0.137	not significant	not significant	significant	not significant	Q9Z0H7	BCL10
0	0	0	0	0	0	0	0	0	-1.81	-2.91	-2.356	1.141	1.261	0.839	1.248	1.624	0.964	significant	significant	not significant	not significant	Q9QYE3	BCL11A
0	0	0	0	0	0	0	0	0	-0.826	-0.354	-0.115	1.516	1.353	0.922	0.297	-1.183	-1.612	significant	significant	not significant	not significant	O54918	BCL2L11
-0.087	-0.468	-0.102	-0.284	0.219	0.061	0.196	0.034	0.43	-0.11	-0.359	-0.429	0.099	0.057	-0.131	0.55	0.111	0.211	not significant	not significant	not significant	not significant	Q9CXE2	BCL7A
0.449	0.385	0.222	0.149	0.188	0.123	-0.376	-0.48	-0.662	0.196	0.267	0.154	0.239	0.532	-0.564	-0.703	-0.338	0.217	not significant	not significant	significant	significant	Q921K9	BCL7B
-2.294	-0.747	-0.271	-0.898	0.701	0.495	1.201	0.926	0.887	-2.175	-1.208	-0.923	0.611	0.584	0.208	0.832	1.105	0.966	significant	significant	significant	significant	A0A0U1RNX8	BCL7C (isof.)
0.026	-0.24	-0.282	0.028	0.288	-0.193	0.072	0.181	0.118	-0.392	-0.295	-0.274	0.179	0.21	-0.073	-0.066	0.374	0.339	not significant	not significant	not significant	not significant	O08664	BCL7C
0.298	0.454	0.4	-0.268	-0.081	-0.513	-0.161	-0.096	-0.033	-0.595	-0.294	-0.704	-0.205	0.212	0.301	0.167	0.373	0.743	significant	not significant	significant	not significant	"A0A087WRN1;F8WI22"	BCLAF1 (isof.)
-0.15	-0.002	-0.074	0.007	-0.077	-0.072	0.2	0.233	-0.065	0.113	0.059	0.001	-0.271	-0.126	-0.076	0.067	0.157	0.076	not significant	not significant	not significant	not significant	"Q8K019;Q8K019-2"	BCLAF1
0.758	0.612	0.476	0.178	0.147	-0.198	0.213	-0.783	-1.404	0.987	1.011	0.949	0.094	0.356	0.452	-1.432	-1.201	-1.216	significant	significant	significant	not significant	A2AG58	BCLAF3
-0.486	-0.911	-1.669	0.686	0.552	0.605	0.317	0.451	0.455	-0.831	-0.847	-0.833	0.399	0.459	0.412	0.314	0.577	0.349	significant	significant	significant	significant	"Q8CGN4;Q8CGN4-2"	BCOR
-0.501	-1.16	-1.045	-0.623	0.049	-1.141	1.359	1.631	1.431	-0.107	0.332	0.311	-2.068	-3.087	-2.704	2.223	2.589	2.51	significant	significant	significant	significant	A2AQH4	BCORL1
-0.45	-0.697	-2.215	-0.118	0.163	0.395	1.116	0.918	0.887	-2.482	-1.957	-2.67	0.986	1.538	0.241	1.714	1.725	0.904	significant	significant	significant	significant	Q6PAJ1	BCR
-0.088	-0.055	-0.134	-0.645	-0.494	-0.53	0.639	0.472	0.834	0.144	-0.014	0.162	-0.074	-0.611	-0.437	0.1	0.135	0.594	not significant	not significant	significant	significant	Q80XN0	BDH1
0.277	0.178	-0.216	-0.146	0.09	-0.199	-0.081	0.293	-0.195	0.126	0.143	0.112	-0.065	-0.19	-0.088	-0.059	0.013	0.007	not significant	not significant	not significant	not significant	"Q571C7;Q571C7-2"	BDP1
-0.678	-0.529	-0.557	0.455	0.353	0.412	0.283	0.168	0.092	-0.354	-0.276	-0.29	0.326	0.198	0.286	-0.07	0.167	0.013	not significant	not significant	significant	significant	Q6PAL0	BEND3
0	0	0	0	0	0	0	0	0	0.071	0.332	0.516	0.077	0.242	-0.357	0.063	-0.231	-0.713	not significant	not significant	not significant	not significant	P86174	BEND4
0.073	0.012	-0.243	0.094	0.37	0.243	-0.267	-0.08	-0.204	-1.629	0.189	-1.935	0.933	0.914	0.163	0.064	0.828	0.474	significant	significant	not significant	not significant	O35623	BET1
0	0	0	0	0	0	0	0	0	-0.429	-0.347	-0.329	0.593	0.6	0.337	-0.613	-0.295	0.483	significant	not significant	not significant	not significant	Q8R079	BFAR
0.614	0.84	0.507	-3.077	-1.545	0.743	0.672	0.429	0.816	-0.523	0.237	2.491	0.805	1.055	1.066	-1.517	-1.511	-2.105	significant	significant	significant	significant	Q9QYC3	BHLHA15
0	0	0	0	0	0	0	0	0	-0.215	-1.353	-0.428	1.36	1.203	1.476	-1.448	-0.33	-0.264	significant	significant	not significant	not significant	Q99PV5	BHLHE41
-0.726	-0.404	-1.475	0.274	0.435	0.227	0.262	0.673	0.734	-0.139	-1.467	-2.47	0.174	0.434	0.161	1.783	0.97	0.555	significant	significant	significant	significant	"Q8BR07;Q8BR07-3;Q8BR07-4"	BICD1
0.106	0.182	-0.352	-0.02	0.03	-0.152	0.317	-0.026	-0.083	1.453	1.313	1.371	-3.98	0.669	0.93	-3.447	0.972	0.719	not significant	not significant	not significant	not significant	"Q921C5;Q921C5-2"	BICD2
-0.208	-0.313	-0.534	-0.222	-0.173	-0.103	0.563	0.49	0.5	-0.41	-0.561	-0.38	-0.014	-0.169	0.098	0.549	0.492	0.394	significant	not significant	significant	significant	F8VPZ9	BICRA
2.356	2.208	2.315	0.797	0.245	1.621	-3.327	-3.016	-3.199	1.005	0.996	0.866	0.078	0.291	0.13	-1.197	-1.284	-0.885	significant	significant	significant	significant	Q8CHH5	BICRAL
0.68	0.726	0.724	0.135	0.101	0.061	-0.712	-0.947	-0.768	0.251	-0.235	-0.035	-0.289	0.297	-0.168	0.264	0.135	-0.219	not significant	not significant	significant	significant	P70444	BID
-0.257	-0.155	-0.555	0.227	0.21	0.112	0.203	0.076	0.139	-0.684	-0.693	-0.498	0.369	0.549	0.202	0.298	0.222	0.234	significant	significant	not significant	not significant	O70201	BIRC5
0.259	0.124	0.163	0.029	0.092	0.15	-0.218	-0.264	-0.335	0.09	0.188	-0.026	0.974	0.963	0.885	-1.113	-1.021	-0.942	significant	significant	not significant	not significant	"O88738;O88738-2;O88738-3"	BIRC6
0.038	0.036	-0.011	0.227	0.13	0.122	-0.126	-0.106	-0.31	-0.309	-0.331	-0.357	0.056	0.075	0.104	0.193	0.286	0.283	not significant	not significant	not significant	not significant	O88700	BLM
-0.432	-0.418	-0.421	-0.441	-0.338	-0.497	0.803	0.811	0.933	-1.271	-1.731	-2.246	-1.764	6.149	5.904	-2.489	-1.173	-1.378	significant	significant	significant	significant	Q8R016	BLMH
0.015	0.262	-0.004	-0.002	0.047	-0.232	-0.092	0.022	-0.016	-0.45	0.053	0.076	0.892	0.913	1.02	-1.348	-1.18	0.024	significant	significant	not significant	not significant	Q9CWG9	BLOC1S2
-0.377	-0.18	-0.217	0.777	0.75	0.791	-0.538	-0.45	-0.556	-0.656	-0.198	-0.451	2.397	2.246	1.569	-2.15	-1.46	-1.297	significant	significant	significant	significant	Q923D2	BLVRB
-0.739	-0.746	-0.701	0.312	0.369	0.635	0.368	0.51	-0.007	-1.556	-3.268	-0.814	1.284	1.239	1.044	0.163	0.918	0.99	significant	significant	significant	significant	"Q8R2X8;Q8R2X8-2"	BLZF1
0	0	0	0	0	0	0	0	0	-1.008	-0.869	-0.871	-1.256	0.559	-0.375	1.294	1.166	1.36	significant	significant	not significant	not significant	P98063	BMP1
0.851	0.66	0.135	-0.724	-0.057	0.981	0.13	-1.08	-0.896	2.232	2.256	1.961	-1.323	-1.091	-1.427	-1.458	-0.712	-0.437	significant	significant	significant	not significant	Q91Z96	BMP2K
0.239	0.208	0.202	-0.039	-0.095	-0.193	-0.169	-0.079	-0.074	0.338	0.326	0.305	-0.219	-0.24	-0.089	-0.181	-0.056	-0.185	not significant	not significant	not significant	not significant	Q6PGF5	BMS1
1.373	0.795	0.109	-0.967	2.184	1.803	-1.113	-1.841	-2.343	1.334	1.258	1.353	0.789	0.585	0.681	-2.955	-1.493	-1.551	significant	significant	significant	significant	Q8BMQ3	BNC2
0.084	0.091	-0.022	0.147	0.179	-0.038	-0.161	-0.213	-0.067	0.003	0.179	0.226	0.277	-0.072	-0.962	0.436	-0.338	0.252	not significant	not significant	not significant	not significant	Q6QD59	BNIP1
0.024	0.096	0.062	0.072	0.045	0.103	-0.102	-0.017	-0.283	-0.383	-0.564	-0.428	0.371	0.257	0.366	0.161	0.27	-0.05	significant	not significant	not significant	not significant	"E9Q6J5;E9Q6J5-3"	BOD1L
-0.077	-0.067	-0.081	0.033	0.034	-0.035	0.096	0.052	0.045	-0.895	-0.543	-0.901	1.156	1.236	0.495	-0.409	-0.019	-0.122	significant	significant	not significant	not significant	Q8BGS2	BOLA2
0.144	0.04	0.229	-0.004	-0.123	-0.166	-0.121	-0.013	0.014	-0.109	0.068	-0.056	0.127	0.074	0.128	0.148	-0.221	-0.161	not significant	not significant	not significant	not significant	P97452	BOP1
-0.732	-0.801	-0.356	0.504	0.569	0.405	0.083	0.202	0.125	-3.757	2.869	-3.932	2.348	4.127	-3.771	3.379	-5.053	3.789	not significant	not significant	significant	significant	Q8R164	BPHL
-0.981	-0.828	-1.084	0.817	0.817	0.856	0.728	-1.414	1.089	-0.495	-0.174	-0.204	0.41	0.831	0.66	-0.97	-0.16	0.102	significant	not significant	significant	significant	A0A140LHY5	BPTF (isof. 3)
0	0	0	0	0	0	0	0	0	-0.737	-0.918	-1.116	1.463	1.474	1.639	-0.17	-1.191	-0.444	significant	significant	not significant	not significant	A2A653	BPTF (isof. 2)
-0.142	-0.142	-0.234	0.117	0.124	-0.008	0.111	0.064	0.11	-0.018	-0.004	-0.005	0.144	0.276	0.372	-0.298	-0.256	-0.211	not significant	not significant	not significant	not significant	A2A654	BPTF (isof. 1)
0	0	0	0	0	0	0	0	0	0.356	0.52	0.166	0.131	0.28	0.085	-0.375	-0.701	-0.461	significant	not significant	not significant	not significant	E9Q6A7	BPTF
-0.307	0.125	0.074	0.344	-0.043	0.29	0.024	-0.116	-0.392	-0.82	-0.656	1.424	1.515	1.083	1.126	-1.472	-0.974	-1.226	significant	significant	not significant	not significant	Q8C3R1	BRAT1
0.504	0.301	0.132	-0.084	0.146	-0.364	-0.248	-0.232	-0.156	0.31	0.113	0.051	0.088	0.159	-0.067	-0.237	-0.106	-0.31	not significant	not significant	not significant	not significant	P48754	BRCA1
0.801	0.795	0.593	-0.018	-0.04	-0.303	-0.619	-0.425	-0.785	0.494	0.47	0.353	-0.035	-0.087	-0.147	-0.394	-0.3	-0.354	significant	not significant	significant	significant	P97929	BRCA2
-0.083	-0.169	0.127	0.155	0	-0.139	0.085	-0.106	0.13	-0.186	0.137	0.203	0.519	-0.278	-0.254	0.128	-0.154	-0.116	not significant	not significant	not significant	not significant	P46737	BRCC3
0.456	0.429	0.382	-0.682	-0.938	-0.636	0.352	0.322	0.315	0.194	0.222	0.22	-0.714	-0.801	-0.659	0.622	0.516	0.401	significant	significant	significant	significant	G5E8P1-2	BRD1
0.045	0.153	0.029	0.212	0.208	-0.108	-0.103	-0.239	-0.197	0.123	0.027	0.018	0.256	0.607	0.659	-0.382	-0.478	-0.831	significant	not significant	not significant	not significant	Q7JJ13	BRD2
0.209	0.191	0.075	-0.161	0.046	-0.127	-0.091	-0.037	-0.104	0.313	0.267	0.234	-0.014	0.009	0.15	-0.126	-0.417	-0.415	not significant	not significant	not significant	not significant	Q8K2F0-2	BRD3
0.255	0.199	0.264	-0.12	-0.035	-0.182	0.003	-0.178	-0.207	0.166	0.087	0.178	0.103	0.011	0.033	-0.129	-0.12	-0.328	not significant	not significant	not significant	not significant	Q9ESU6	BRD4
-0.243	-0.318	-0.325	-0.106	-0.366	-0.205	0.584	0.369	0.609	-0.28	-0.248	-0.301	-0.436	-0.333	-0.075	0.509	0.512	0.652	significant	not significant	significant	significant	O88665	BRD7
0.285	0.111	0.007	0.249	0.363	0.118	-0.28	-0.391	-0.463	0.175	0.139	0.179	0.105	0.035	-0.051	-0.183	-0.133	-0.267	not significant	not significant	significant	not significant	Q8R3B7	BRD8
0.476	0.514	0.391	0.049	0.309	0.118	-0.485	-0.783	-0.588	0.314	0.275	0.271	0	-0.008	0.184	-0.362	-0.313	-0.36	not significant	not significant	significant	significant	Q3UQU0	BRD9
0.543	0.31	0.188	-1.614	-1.517	-2.055	0.738	1.832	1.574	0.288	0.395	-0.28	0.225	-0.192	-0.056	0.088	-0.3	-0.166	not significant	not significant	significant	significant	Q8CFK2	BRF1
0.137	0.377	0.111	-0.223	0.005	-0.307	-0.62	0.809	-0.289	0.128	-0.146	-0.157	0.141	0.159	0.032	-0.047	0.002	-0.113	not significant	not significant	not significant	not significant	Q8BXV2	BRI3BP
-0.499	-0.223	0.006	0.007	-0.006	0.156	0.113	0.236	0.209	-0.933	-1.185	-0.319	-0.319	0.77	0.192	0.391	0.657	0.746	significant	significant	not significant	not significant	Q5SXJ3	BRIP1
0.024	-0.015	0.033	0.012	-0.042	0.027	-0.138	-0.087	0.187	-0.048	-0.073	0.066	-0.191	-0.193	-0.015	-0.058	0.15	0.36	not significant	not significant	not significant	not significant	Q9DCA5	BRIX1
0.562	0.006	0.765	-0.133	-0.501	0.029	-0.839	-0.098	0.209	-0.563	-0.458	-0.358	0.208	0.468	0.293	0.014	0.29	0.105	significant	not significant	significant	not significant	Q99N20	BRMS1
0.07	0.2	0.168	0.189	0.072	-0.075	-0.278	-0.105	-0.241	-0.327	-0.101	0.012	0.354	0.669	0.421	-0.371	-0.338	-0.319	significant	not significant	not significant	not significant	Q3U1T3	BRMS1L
0.026	0.181	0.16	0.214	-0.143	-0.117	0.077	-0.105	-0.293	0.41	0.305	0.33	-0.331	-0.115	0.031	-0.277	-0.149	-0.203	not significant	not significant	not significant	not significant	B2RRD7	BRPF1
0.947	1.273	1.007	0.689	-1.633	-1.164	-0.619	-0.327	-0.173	1.135	1.06	0.957	-0.885	-0.859	-0.806	-0.324	-0.112	-0.166	significant	significant	significant	significant	B2KF05	BRPF3
0.695	0.791	0.873	0.296	0.522	0.875	-0.116	-0.698	-3.239	0.477	0.546	0.494	-0.127	0.045	0.049	-0.44	-0.554	-0.491	significant	not significant	significant	significant	Q921C3-2	BRWD1
0.412	2.034	-0.111	-0.045	0.053	0.545	-0.091	-0.175	-2.621	0.12	0.029	0.206	0.195	0.121	-0.185	-0.02	-0.108	-0.358	not significant	not significant	significant	not significant	A2AHJ4	BRWD3
0.066	-0.025	-0.043	-0.749	-0.776	-0.788	0.793	0.78	0.741	0.783	0.852	0.494	-0.356	-1.62	-1.148	0.293	0.231	0.471	significant	significant	significant	significant	"P18572;P18572-2"	BSG
-0.597	-0.835	-0.948	0.174	0.187	0.252	0.63	0.735	0.402	-0.304	0.611	0.533	0.474	0.047	-2.432	0.627	0.196	0.248	not significant	not significant	significant	significant	Q8R2Q8	BST2
-0.015	0.016	0.095	-0.06	0.096	0.016	-0.079	-0.088	0.019	0.043	0.187	0	0.401	0.474	0.072	-0.247	-0.707	-0.223	not significant	not significant	not significant	not significant	E9QAE3	BTAF1
-0.214	-0.244	-0.195	0.204	0.265	0.155	-0.043	-0.058	0.13	-0.377	0.022	-0.191	0.781	0.749	0.28	-0.516	-0.497	-0.251	significant	not significant	not significant	not significant	Q64152-2	BTF3
-0.224	0.006	0.094	0.384	-0.043	0.054	0.13	-0.17	-0.231	1.275	0.964	1.097	-0.327	0.079	-0.94	-0.567	-0.746	-0.837	significant	significant	not significant	not significant	Q9Z1S0	BUB1B
0.021	-0.052	0.024	-0.05	0.007	-0.181	0.016	0.007	0.207	-0.055	-0.082	-0.019	0.114	0.159	0.172	0.14	-0.198	-0.232	not significant	not significant	not significant	not significant	Q9WVA3	BUB3
0.325	0.005	0.051	0.119	0.039	-0.035	-0.189	-0.081	-0.234	0.029	0.098	-0.063	-0.062	0.048	0.263	-0.249	0.028	-0.092	not significant	not significant	not significant	not significant	Q8R149	BUD13
-0.481	-0.278	-0.573	0.28	0.351	0.381	0.12	0.125	0.075	0.28	-0.154	-0.514	-0.04	0.083	-0.251	0.049	0.34	0.207	not significant	not significant	significant	not significant	Q9CY21	BUD23
-0.244	-0.035	-0.211	0.179	0.088	-0.343	0.273	0.248	0.044	-0.243	-0.173	-0.27	0.167	0.35	0.069	0.016	0.238	-0.153	not significant	not significant	not significant	not significant	Q6PGH1	BUD31
-0.158	0.007	0.072	0.132	-0.143	0.118	0.038	-0.017	-0.05	0.291	0.238	0.336	-0.105	0.013	-0.177	-0.24	-0.129	-0.227	not significant	not significant	not significant	not significant	O54825	BYSL
0.111	0.181	0.148	0.063	0.173	0.154	-0.296	-0.298	-0.236	0.545	0.54	0.595	0.308	0.537	-0.265	-0.592	-0.836	-0.832	significant	significant	not significant	not significant	Q9CQC6	BZW1
0.114	0.183	0.027	-0.126	0.052	-0.016	-0.151	-0.076	-0.006	0.432	0.606	0.345	0.029	-0.155	-0.339	-0.123	-0.023	-0.772	not significant	not significant	not significant	not significant	Q91VK1	BZW2
0.313	0.288	0.565	-0.124	0.056	-0.236	-0.439	-0.373	-0.05	-0.394	-0.298	-0.482	0.108	0.092	-0.125	0.44	0.231	0.429	significant	not significant	significant	not significant	O35473	C1D
0	0	0	0	0	0	0	0	0	-0.53	-0.472	-0.438	0.944	1.029	0.651	-0.38	-0.26	-0.543	significant	significant	not significant	not significant	"Q499E6;Q499E6-2;Q499E6-3"	C1ORF109
-0.342	-0.375	-0.482	-0.056	-0.005	-0.018	0.443	0.448	0.387	-0.641	-0.468	-0.548	0.457	0.414	-0.173	0.187	0.419	0.351	significant	not significant	significant	not significant	O35658	C1QBP (isof.)
-0.908	-1.338	-0.06	0.342	-0.974	0.381	1.03	0.866	0.66	-0.449	-0.571	-0.51	0.614	0.184	-0.867	0.562	0.487	0.548	significant	not significant	significant	significant	Q8R5L1	C1QBP
-0.283	-0.615	0.268	0.66	-0.789	0.246	0.145	0.069	0.297	-1.926	-1.787	-0.731	2.393	-1.483	-0.084	-0.962	2.361	2.219	significant	not significant	not significant	not significant	O88992	C1QL1
0	0	0	0	0	0	0	0	0	0.024	0.149	0.312	-0.083	0.648	0.475	-1.252	-1.448	1.175	not significant	not significant	not significant	not significant	E9Q3C1	C2CD2
0.196	0.094	-0.615	0.026	-0.435	-0.411	0.32	0.643	0.181	0.095	-0.012	0.033	-0.478	-0.554	-0.135	0.294	0.403	0.354	significant	not significant	not significant	not significant	Q52KB6	C2CD3
1.233	1.34	1.282	-1.334	-0.983	-0.119	-0.647	-0.236	-0.537	1.694	2.587	1.808	0.77	-0.025	0.421	-3.621	-0.814	-2.82	significant	significant	significant	significant	Q7TPS5	C2CD5
0.281	-0.03	-0.468	-0.142	-0.205	-0.299	0.384	0.353	0.126	-0.025	-0.04	-0.158	-0.127	-0.125	-0.034	0.155	0.192	0.161	not significant	not significant	not significant	not significant	Z4YLD0	C330007P06RIK
-5.053	-5.047	-5.168	2.787	2.724	2.683	2.351	2.516	2.207	-2.986	-2.857	-3.137	1.704	1.886	1.563	1.519	1.087	1.222	significant	significant	significant	significant	Q64444	CA4
-0.701	-1.338	-0.877	0.147	0.299	0.236	0.788	0.745	0.702	-1.239	-1.299	-1.424	0.604	0.461	0.352	0.652	0.916	0.977	significant	significant	significant	significant	Q8VDY9	CAAP1
0.325	0.031	0.256	-0.023	-0.094	-0.272	-0.129	0.101	-0.196	0.428	0.411	0.394	-0.176	-0.235	-0.371	-0.107	-0.226	-0.117	significant	not significant	not significant	not significant	G3X8Q1	CABIN1
-0.365	0.373	0.027	-0.44	-0.349	0.271	0.842	0.033	-0.391	0.34	0.546	0.444	-0.206	0.231	0.325	-0.538	-0.45	-0.692	significant	not significant	not significant	not significant	P97445	CACNA1A
0	0	0	0	0	0	0	0	0	0.282	0.686	-0.809	0.589	0.104	-1.45	-0.108	0.259	0.446	not significant	not significant	not significant	not significant	"O55017;O55017-2"	CACNA1B
0	0	0	0	0	0	0	0	0	0.99	0.737	-1.172	-1.206	-0.269	0.993	-0.684	-0.416	1.026	not significant	not significant	not significant	not significant	"Q02789;Q02789-2"	CACNA1S
-0.601	-0.949	-0.865	0.061	0.102	0.402	0.503	0.792	0.554	-1.592	-1.295	-1.055	-0.33	-0.686	-0.388	1.87	1.769	1.708	significant	significant	significant	significant	Q8CC27	CACNB2
0.305	-0.183	-0.033	-0.312	-0.391	-0.12	0.18	0.322	0.232	-0.035	-0.062	-0.171	-0.123	0.012	-0.095	0.095	0.188	0.191	not significant	not significant	not significant	not significant	Q9CS00	CACTIN
0.401	0.27	0.263	-0.274	-0.368	0.122	-0.167	-0.126	-0.121	0.206	-0.185	0.167	0.927	0.832	0.271	-1.141	-0.903	-0.174	significant	significant	not significant	not significant	Q8R0X2	CACUL1
0.203	0.161	0.141	-0.074	0.023	0.062	-0.17	-0.149	-0.196	0.184	0.067	-0.092	0.613	0.113	-0.471	0.197	-0.48	-0.13	not significant	not significant	not significant	not significant	Q9CXW3	CACYBP
-0.377	-0.229	-0.033	0.222	0.133	0.385	-0.011	-0.12	0.03	-0.289	-0.271	-0.227	0.897	1.027	0.594	-0.639	-0.476	-0.617	significant	significant	not significant	not significant	B2RQC6	CAD
0	0	0	0	0	0	0	0	0	3.117	2.713	2.518	-1.26	-1.435	-1.246	-1.903	-1.285	-1.219	significant	significant	not significant	not significant	"Q8BYR5;Q8BYR5-2;Q8BYR5-3;Q8BYR5-4;Q8BYR5-5"	CADPS2
-1.69	-0.761	-1.636	-1.317	-0.414	-0.547	2.264	2.034	2.066	-0.68	-0.666	-0.663	-0.609	-0.253	-0.161	1.935	-0.852	1.949	significant	not significant	significant	significant	"Q60755;Q60755-2"	CALCR
-0.498	-0.493	-0.768	0.936	0.609	0.646	0.427	-0.081	-0.778	-2.031	-2.587	-2.609	-1.855	4.399	-2.808	-1.832	4.594	4.729	significant	not significant	significant	significant	E9QA15	CALD1 (isof.)
-1.429	-1.631	-1.911	0.976	1.002	0.982	0.58	0.715	0.716	0.627	-3.858	3.674	-0.056	0.642	0.083	-0.637	-0.247	-0.227	not significant	not significant	significant	significant	"E9QA16;Q8VCQ8"	CALD1
-0.039	-0.053	0.015	0.07	0.026	0.164	0.016	-0.085	-0.115	-0.35	-0.634	0.962	-0.023	-0.126	0.367	-0.142	-0.052	-0.002	not significant	not significant	not significant	not significant	P0DP28	CALM3
0.298	0.266	0.196	0.049	0.064	0.02	-0.289	-0.257	-0.348	-0.322	-0.219	-0.179	1.356	1.042	0.633	-0.505	-1.029	-0.776	significant	significant	significant	not significant	P14211	CALR
